step,loss,learning_rate
1,1.3418586254119873,0.0
2,1.351643681526184,1e-05
3,1.5498298406600952,2e-05
4,1.2747480869293213,3e-05
5,1.4168589115142822,4e-05
6,1.4895730018615723,5e-05
7,1.8811426162719727,6e-05
8,1.588382601737976,7e-05
9,1.6044849157333374,8e-05
10,1.9241948127746582,9e-05
11,1.5666226148605347,0.0001
12,1.8173357248306274,0.00011000000000000002
13,1.3906049728393555,0.00012
14,1.4066740274429321,0.00013000000000000002
15,1.307423710823059,0.00014
16,1.2977869510650635,0.00015000000000000001
17,1.2151405811309814,0.00016
18,1.226624846458435,0.00017
19,1.3790757656097412,0.00018
20,1.529728889465332,0.00019
21,1.554047703742981,0.0002
22,1.4551596641540527,0.0001988888888888889
23,1.4207422733306885,0.00019777777777777778
24,1.4061594009399414,0.00019666666666666666
25,1.462738037109375,0.00019555555555555556
26,1.4033827781677246,0.00019444444444444446
27,1.2670948505401611,0.00019333333333333333
28,1.1511547565460205,0.00019222222222222224
29,1.6571272611618042,0.00019111111111111114
30,1.2180745601654053,0.00019
31,1.3089358806610107,0.00018888888888888888
32,1.2985119819641113,0.00018777777777777779
33,1.0010532140731812,0.0001866666666666667
34,1.6142843961715698,0.00018555555555555556
35,1.3966237306594849,0.00018444444444444446
36,1.4502025842666626,0.00018333333333333334
37,1.3568302392959595,0.00018222222222222224
38,1.4090925455093384,0.0001811111111111111
39,1.2660272121429443,0.00018
40,1.525510549545288,0.0001788888888888889
41,1.1625339984893799,0.00017777777777777779
42,1.180513858795166,0.00017666666666666666
43,1.2227609157562256,0.00017555555555555556
44,1.3293319940567017,0.00017444444444444446
45,1.1142911911010742,0.00017333333333333334
46,1.1612039804458618,0.00017222222222222224
47,1.2365212440490723,0.0001711111111111111
48,1.3721169233322144,0.00017
49,1.1975613832473755,0.00016888888888888889
50,1.385717511177063,0.0001677777777777778
51,1.3848533630371094,0.0001666666666666667
52,1.1826832294464111,0.00016555555555555556
53,1.1250861883163452,0.00016444444444444444
54,1.214422583580017,0.00016333333333333334
55,1.3288847208023071,0.00016222222222222224
56,1.2176803350448608,0.0001611111111111111
57,1.106001377105713,0.00016
58,1.2692316770553589,0.0001588888888888889
59,1.0783990621566772,0.0001577777777777778
60,1.0071953535079956,0.00015666666666666666
61,1.2508734464645386,0.00015555555555555556
62,1.0994901657104492,0.00015444444444444446
63,1.1594836711883545,0.00015333333333333334
64,1.113053560256958,0.0001522222222222222
65,1.448513388633728,0.0001511111111111111
66,1.023789405822754,0.00015000000000000001
67,1.2589988708496094,0.0001488888888888889
68,1.1519707441329956,0.0001477777777777778
69,1.4592351913452148,0.00014666666666666666
70,0.9810428023338318,0.00014555555555555556
71,1.1203252077102661,0.00014444444444444444
72,1.212916612625122,0.00014333333333333334
73,1.2964550256729126,0.00014222222222222224
74,1.244438886642456,0.00014111111111111111
75,1.2300045490264893,0.00014
76,1.316986322402954,0.0001388888888888889
77,1.4230879545211792,0.0001377777777777778
78,1.1304118633270264,0.00013666666666666666
79,1.0918831825256348,0.00013555555555555556
80,1.1521751880645752,0.00013444444444444447
81,1.1430217027664185,0.00013333333333333334
82,1.1854605674743652,0.00013222222222222221
83,1.056234359741211,0.00013111111111111111
84,1.2242565155029297,0.00013000000000000002
85,1.500119924545288,0.00012888888888888892
86,1.087084412574768,0.00012777777777777776
87,1.2088044881820679,0.00012666666666666666
88,1.0403867959976196,0.00012555555555555557
89,1.040140151977539,0.00012444444444444444
90,1.4488396644592285,0.00012333333333333334
91,1.1206647157669067,0.00012222222222222224
92,1.0341039896011353,0.0001211111111111111
93,1.1809273958206177,0.00012
94,1.255115032196045,0.00011888888888888889
95,1.1524920463562012,0.00011777777777777779
96,1.1910237073898315,0.00011666666666666668
97,1.2554736137390137,0.00011555555555555555
98,1.0730226039886475,0.00011444444444444444
99,1.048261284828186,0.00011333333333333334
100,1.0569895505905151,0.00011222222222222223
101,1.1248774528503418,0.00011111111111111112
102,1.100348711013794,0.00011000000000000002
103,1.267776608467102,0.00010888888888888889
104,1.16937255859375,0.00010777777777777778
105,0.9794294834136963,0.00010666666666666667
106,1.0713123083114624,0.00010555555555555557
107,1.1277130842208862,0.00010444444444444445
108,1.3082414865493774,0.00010333333333333334
109,1.3886061906814575,0.00010222222222222222
110,1.15314781665802,0.00010111111111111112
111,1.2942487001419067,0.0001
112,1.2056611776351929,9.888888888888889e-05
113,1.5131194591522217,9.777777777777778e-05
114,1.1986688375473022,9.666666666666667e-05
115,1.023061990737915,9.555555555555557e-05
116,1.299051284790039,9.444444444444444e-05
117,1.1105941534042358,9.333333333333334e-05
118,1.09328031539917,9.222222222222223e-05
119,1.0329082012176514,9.111111111111112e-05
120,0.9823857545852661,9e-05
121,1.2437255382537842,8.888888888888889e-05
122,1.50884211063385,8.777777777777778e-05
123,1.472623348236084,8.666666666666667e-05
124,1.0059421062469482,8.555555555555556e-05
125,1.1522120237350464,8.444444444444444e-05
126,1.1979048252105713,8.333333333333334e-05
127,1.2368711233139038,8.222222222222222e-05
128,1.0343297719955444,8.111111111111112e-05
129,1.2539712190628052,8e-05
130,0.9755298495292664,7.88888888888889e-05
131,1.1464998722076416,7.777777777777778e-05
132,1.163883924484253,7.666666666666667e-05
133,1.2373638153076172,7.555555555555556e-05
134,1.2396053075790405,7.444444444444444e-05
135,0.9679225087165833,7.333333333333333e-05
136,1.230925440788269,7.222222222222222e-05
137,1.2987632751464844,7.111111111111112e-05
138,1.3359670639038086,7e-05
139,1.6558343172073364,6.88888888888889e-05
140,1.2120684385299683,6.777777777777778e-05
141,1.2692588567733765,6.666666666666667e-05
142,1.2030928134918213,6.555555555555556e-05
143,1.2112040519714355,6.444444444444446e-05
144,1.1323916912078857,6.333333333333333e-05
145,1.1411595344543457,6.222222222222222e-05
146,1.0205694437026978,6.111111111111112e-05
147,1.161361813545227,6e-05
148,1.023462176322937,5.8888888888888896e-05
149,1.4141883850097656,5.7777777777777776e-05
150,1.0911071300506592,5.666666666666667e-05
151,1.0700502395629883,5.555555555555556e-05
152,1.135056495666504,5.4444444444444446e-05
153,1.0724554061889648,5.333333333333333e-05
154,1.133265495300293,5.222222222222223e-05
155,1.1032099723815918,5.111111111111111e-05
156,1.3696019649505615,5e-05
157,0.8997104167938232,4.888888888888889e-05
158,1.4348266124725342,4.7777777777777784e-05
159,1.0009429454803467,4.666666666666667e-05
160,1.2562531232833862,4.555555555555556e-05
161,1.0163815021514893,4.4444444444444447e-05
162,1.1678943634033203,4.3333333333333334e-05
163,1.1849656105041504,4.222222222222222e-05
164,0.8805340528488159,4.111111111111111e-05
165,1.2955093383789062,4e-05
166,1.1623531579971313,3.888888888888889e-05
167,1.0017707347869873,3.777777777777778e-05
168,1.2273145914077759,3.6666666666666666e-05
169,1.2044732570648193,3.555555555555556e-05
170,0.9948504567146301,3.444444444444445e-05
171,1.0511072874069214,3.3333333333333335e-05
172,1.0150223970413208,3.222222222222223e-05
173,1.0203547477722168,3.111111111111111e-05
174,1.091579794883728,3e-05
175,1.1559478044509888,2.8888888888888888e-05
176,1.1590890884399414,2.777777777777778e-05
177,0.9938424825668335,2.6666666666666667e-05
178,1.1239029169082642,2.5555555555555554e-05
179,1.4040570259094238,2.4444444444444445e-05
180,1.2817392349243164,2.3333333333333336e-05
181,1.0329772233963013,2.2222222222222223e-05
182,1.259583830833435,2.111111111111111e-05
183,1.1577682495117188,2e-05
184,1.250776767730713,1.888888888888889e-05
185,1.1787865161895752,1.777777777777778e-05
186,0.9549914598464966,1.6666666666666667e-05
187,1.071302056312561,1.5555555555555555e-05
188,1.2227448225021362,1.4444444444444444e-05
189,1.42842698097229,1.3333333333333333e-05
190,1.2563257217407227,1.2222222222222222e-05
191,0.9310938119888306,1.1111111111111112e-05
192,1.0818663835525513,1e-05
193,1.0977721214294434,8.88888888888889e-06
194,1.2055211067199707,7.777777777777777e-06
195,1.1720455884933472,6.666666666666667e-06
196,1.352858066558838,5.555555555555556e-06
197,1.1218605041503906,4.444444444444445e-06
198,1.1262322664260864,3.3333333333333333e-06
199,1.044278621673584,2.2222222222222225e-06
200,1.0241414308547974,1.1111111111111112e-06
